month,building_price_id,building_id,room_count,min_area,max_area,price_per_meter,max_price_per_meter,currency,is_sold
2024-04-24,14269,4164,2,0,0,0,0,uah,yes
2024-04-24,14268,4164,1,0,0,0,0,uah,yes
2024-04-24,14262,4251,3,0,0,0,0,uah,yes
2024-04-24,14261,4251,2,0,0,0,0,uah,yes
2024-04-24,14260,4251,1,0,0,0,0,uah,yes
2024-04-24,14225,2885,3,0,0,0,0,uah,yes
2024-04-24,14224,2885,2,0,0,0,0,uah,yes
2024-04-24,14223,2885,1,0,0,0,0,uah,yes
2024-04-24,14205,3670,4,0,0,0,0,interbank,yes
2024-04-24,14204,3670,2,0,0,0,0,interbank,yes
2024-04-24,14203,3670,1,0,0,0,0,interbank,yes
2024-04-24,14183,4314,3,0,0,0,0,interbank,yes
2024-04-24,14182,4314,2,0,0,0,0,interbank,yes
2024-04-24,14181,4314,1,0,0,0,0,interbank,yes
2024-04-24,14173,3450,3,0,0,0,0,interbank,yes
2024-04-24,14172,3450,2,0,0,0,0,interbank,yes
2024-04-24,14171,3450,1,0,0,0,0,interbank,yes
2024-04-24,14169,3450,2,0,0,0,0,interbank,yes
2024-04-24,14168,3450,1,0,0,0,0,interbank,yes
2024-04-24,14147,1173,3,0,0,0,0,uah,yes
2024-04-24,14146,1173,2,0,0,0,0,uah,yes
2024-04-24,14145,1173,1,0,0,0,0,uah,yes
2024-04-24,14143,4200,2,0,0,0,0,interbank,yes
2024-04-24,14142,4200,1,0,0,0,0,interbank,yes
2024-04-24,14126,4245,2,0,0,0,0,interbank,yes
2024-04-24,14125,4245,1,0,0,0,0,interbank,yes
2024-04-24,14124,4245,2,0,0,0,0,interbank,yes
2024-04-24,14123,4245,1,0,0,0,0,interbank,yes
2024-04-24,14119,29,1,0,0,0,0,uah,yes
2024-04-24,14107,1865,1,0,0,0,0,uah,yes
2024-04-24,14100,3323,3,0,0,0,0,interbank,yes
2024-04-24,14099,3323,2,0,0,0,0,interbank,yes
2024-04-24,14088,4197,3,0,0,0,0,uah,yes
2024-04-24,14087,4197,2,0,0,0,0,uah,yes
2024-04-24,14086,4197,1,0,0,0,0,uah,yes
2024-04-24,14081,4252,1,0,0,0,0,interbank,yes
2024-04-24,14070,3225,3,0,0,0,0,interbank,yes
2024-04-24,14069,3225,2,0,0,0,0,interbank,yes
2024-04-24,14068,3225,1,0,0,0,0,interbank,yes
2024-04-24,14059,4088,2,0,0,0,0,interbank,yes
2024-04-24,14049,2819,3,0,0,0,0,uah,yes
2024-04-24,14048,2819,2,0,0,0,0,uah,yes
2024-04-24,14047,2819,1,0,0,0,0,uah,yes
2024-04-24,14007,2101,2,0,0,0,0,interbank,yes
2024-04-24,14006,2101,1,0,0,0,0,interbank,yes
2024-04-24,14000,4191,2,0,0,0,0,uah,yes
2024-04-24,13999,4191,1,0,0,0,0,uah,yes
2024-04-24,13951,1970,1,47.5,51.7,57100,60700,uah,no
